"","Country","Year","Indicator","RCode","Region","CCode","Male","Female","Both_Sexes"
"245","Canada",2015,"Life expectancy at age 60 (years)","AMR","Americas","CAN",23.34,25.98,24.72
"246","Canada",2015,"Life expectancy at birth (years)","AMR","Americas","CAN",79.88,83.58,81.76
"247","Canada",2019,"Life expectancy at age 60 (years)","AMR","Americas","CAN",23.84,26.38,25.15
"248","Canada",2019,"Life expectancy at birth (years)","AMR","Americas","CAN",80.4,84.05,82.24
"249","Central African Republic",2000,"Life expectancy at age 60 (years)","AFR","Africa","CAF",10.15,13.37,11.77
"250","Central African Republic",2000,"Life expectancy at birth (years)","AFR","Africa","CAF",43.24,45.52,44.34
"251","Central African Republic",2010,"Life expectancy at age 60 (years)","AFR","Africa","CAF",10.73,14.2,12.51
"252","Central African Republic",2010,"Life expectancy at birth (years)","AFR","Africa","CAF",46.69,50.44,48.51
"253","Central African Republic",2015,"Life expectancy at age 60 (years)","AFR","Africa","CAF",10.99,14.4,12.77
"254","Central African Republic",2015,"Life expectancy at birth (years)","AFR","Africa","CAF",48.19,53.03,50.53
"255","Central African Republic",2019,"Life expectancy at age 60 (years)","AFR","Africa","CAF",11.31,14.85,13.17
"256","Central African Republic",2019,"Life expectancy at birth (years)","AFR","Africa","CAF",50.21,56.26,53.1
"257","Chad",2000,"Life expectancy at age 60 (years)","AFR","Africa","TCD",13.75,16.11,14.95
"258","Chad",2000,"Life expectancy at birth (years)","AFR","Africa","TCD",49.26,52.98,51.08
"259","Chad",2010,"Life expectancy at age 60 (years)","AFR","Africa","TCD",14.58,16.64,15.63
"260","Chad",2010,"Life expectancy at birth (years)","AFR","Africa","TCD",53.93,57.43,55.65
"261","Chad",2015,"Life expectancy at age 60 (years)","AFR","Africa","TCD",15.21,17.05,16.16
"262","Chad",2015,"Life expectancy at birth (years)","AFR","Africa","TCD",56.22,59.63,57.91
"263","Chad",2019,"Life expectancy at age 60 (years)","AFR","Africa","TCD",15.68,17.34,16.54
"264","Chad",2019,"Life expectancy at birth (years)","AFR","Africa","TCD",57.95,61.34,59.63
